time_normalized,blue,orange
0.3368251,0.8846154,0.7090301
0.3376309,0.9057971,0.7017837
0.3384367,0.8874025,0.6950948
0.3392425,0.8924192,0.6945373
0.3400483,0.8929766,0.6945373
0.3408541,0.8851728,0.6950948
0.3416600,0.8935340,0.6950948
0.3424658,0.8935340,0.6867336
0.3432716,0.8952062,0.6861761
0.3440774,0.9030100,0.6934225
0.3448832,0.9113712,0.6934225
0.3456890,0.8968785,0.6934225
0.3464948,0.8901895,0.6934225
0.3473006,0.9147157,0.6934225
0.3481064,0.9130435,0.6934225
0.3489122,0.9046823,0.6928651
0.3497180,0.9041249,0.6850613
0.3505238,0.9018952,0.6856187
0.3513296,0.9057971,0.6861761
0.3521354,0.9035674,0.6861761
0.3529412,0.9197324,0.6861761
0.3537470,0.9074693,0.6861761
0.3545528,0.9041249,0.6861761
0.3553586,0.9202899,0.6789298
0.3561644,0.9219621,0.6789298
0.3569702,0.9057971,0.6789298
0.3577760,0.9158305,0.6789298
0.3585818,0.9158305,0.6789298
0.3593876,0.9202899,0.6711260
0.3601934,0.9108138,0.6705686
0.3609992,0.9141583,0.6627648
0.3618050,0.9236343,0.6627648
0.3626108,0.9292085,0.6627648
0.3634166,0.9303233,0.6627648
0.3642224,0.9280936,0.6627648
0.3650282,0.9347826,0.6627648
0.3658340,0.9303233,0.6599777
0.3666398,0.9080268,0.6544036
0.3674456,0.8751394,0.6532887
0.3682514,0.8974359,0.6622074
0.3690572,0.9007804,0.6688963
0.3698630,0.9269788,0.6688963
0.3706688,0.9180602,0.6649944
0.3714746,0.9163880,0.6610925
0.3722804,0.9175028,0.6571906
0.3730862,0.9007804,0.6532887
0.3738920,0.9074693,0.6532887
0.3746978,0.9225195,0.6460424
0.3755036,0.9046823,0.6460424
0.3763094,0.9080268,0.6460424
0.3771152,0.9158305,0.6376812
0.3779210,0.9080268,0.6376812
0.3787268,0.8952062,0.6376812
0.3795326,0.9024526,0.6393534
0.3803384,0.8929766,0.6282051
0.3811442,0.8968785,0.6170569
0.3819500,0.9057971,0.6204013
0.3827558,0.8846154,0.6282051
0.3835616,0.8868450,0.6282051
0.3843674,0.8678930,0.6282051
